Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Costa Rica,Costa Rica,CR,46.47,83.72,89.96,89.96,Electricity Maps Estimation
2023-01-02 00:00:00,Costa Rica,Costa Rica,CR,45.10,81.50,90.26,90.26,Electricity Maps Estimation
2023-01-03 00:00:00,Costa Rica,Costa Rica,CR,43.15,79.70,90.60,90.60,Electricity Maps Estimation
2023-01-04 00:00:00,Costa Rica,Costa Rica,CR,43.06,80.11,90.56,90.56,Electricity Maps Estimation
2023-01-05 00:00:00,Costa Rica,Costa Rica,CR,42.89,78.70,90.69,90.69,Electricity Maps Estimation
2023-01-06 00:00:00,Costa Rica,Costa Rica,CR,40.60,76.00,91.15,91.15,Electricity Maps Estimation
2023-01-07 00:00:00,Costa Rica,Costa Rica,CR,42.27,77.53,90.83,90.83,Electricity Maps Estimation
2023-01-08 00:00:00,Costa Rica,Costa Rica,CR,48.89,85.37,89.54,89.54,Electricity Maps Estimation
2023-01-09 00:00:00,Costa Rica,Costa Rica,CR,59.40,96.60,87.54,87.54,Electricity Maps Estimation
2023-01-10 00:00:00,Costa Rica,Costa Rica,CR,55.64,92.70,88.21,88.21,Electricity Maps Estimation
2023-01-11 00:00:00,Costa Rica,Costa Rica,CR,48.18,84.45,89.75,89.75,Electricity Maps Estimation
2023-01-12 00:00:00,Costa Rica,Costa Rica,CR,52.21,89.76,88.98,88.98,Electricity Maps Estimation
2023-01-13 00:00:00,Costa Rica,Costa Rica,CR,48.03,85.78,89.76,89.76,Electricity Maps Estimation
2023-01-14 00:00:00,Costa Rica,Costa Rica,CR,42.31,78.31,90.91,90.91,Electricity Maps Estimation
2023-01-15 00:00:00,Costa Rica,Costa Rica,CR,38.72,73.99,91.54,91.54,Electricity Maps Estimation
2023-01-16 00:00:00,Costa Rica,Costa Rica,CR,38.67,73.80,91.53,91.53,Electricity Maps Estimation
2023-01-17 00:00:00,Costa Rica,Costa Rica,CR,40.27,76.16,91.20,91.20,Electricity Maps Estimation
2023-01-18 00:00:00,Costa Rica,Costa Rica,CR,43.38,80.46,90.56,90.56,Electricity Maps Estimation
2023-01-19 00:00:00,Costa Rica,Costa Rica,CR,44.07,81.94,90.35,90.35,Electricity Maps Estimation
2023-01-20 00:00:00,Costa Rica,Costa Rica,CR,42.81,78.76,90.74,90.74,Electricity Maps Estimation
2023-01-21 00:00:00,Costa Rica,Costa Rica,CR,40.55,76.03,91.17,91.17,Electricity Maps Estimation
2023-01-22 00:00:00,Costa Rica,Costa Rica,CR,39.90,75.79,91.28,91.28,Electricity Maps Estimation
2023-01-23 00:00:00,Costa Rica,Costa Rica,CR,41.15,77.98,90.98,90.98,Electricity Maps Estimation
2023-01-24 00:00:00,Costa Rica,Costa Rica,CR,41.28,77.25,91.03,91.03,Electricity Maps Estimation
2023-01-25 00:00:00,Costa Rica,Costa Rica,CR,45.93,83.78,90.04,90.04,Electricity Maps Estimation
2023-01-26 00:00:00,Costa Rica,Costa Rica,CR,48.03,87.18,89.63,89.63,Electricity Maps Estimation
2023-01-27 00:00:00,Costa Rica,Costa Rica,CR,43.91,79.79,90.55,90.55,Electricity Maps Estimation
2023-01-28 00:00:00,Costa Rica,Costa Rica,CR,41.56,78.00,90.95,90.95,Electricity Maps Estimation
2023-01-29 00:00:00,Costa Rica,Costa Rica,CR,38.44,73.28,91.58,91.58,Electricity Maps Estimation
2023-01-30 00:00:00,Costa Rica,Costa Rica,CR,39.42,74.92,91.36,91.36,Electricity Maps Estimation
2023-01-31 00:00:00,Costa Rica,Costa Rica,CR,40.50,76.36,91.16,91.16,Electricity Maps Estimation
2023-02-01 00:00:00,Costa Rica,Costa Rica,CR,17.08,41.53,96.92,96.92,Electricity Maps Estimation
2023-02-02 00:00:00,Costa Rica,Costa Rica,CR,15.81,40.13,97.17,97.17,Electricity Maps Estimation
2023-02-03 00:00:00,Costa Rica,Costa Rica,CR,14.14,37.13,97.52,97.52,Electricity Maps Estimation
2023-02-04 00:00:00,Costa Rica,Costa Rica,CR,16.57,41.73,96.98,96.98,Electricity Maps Estimation
2023-02-05 00:00:00,Costa Rica,Costa Rica,CR,18.65,46.08,96.51,96.51,Electricity Maps Estimation
2023-02-06 00:00:00,Costa Rica,Costa Rica,CR,16.92,42.53,96.91,96.91,Electricity Maps Estimation
2023-02-07 00:00:00,Costa Rica,Costa Rica,CR,19.45,45.97,96.37,96.37,Electricity Maps Estimation
2023-02-08 00:00:00,Costa Rica,Costa Rica,CR,26.20,52.69,95.15,95.15,Electricity Maps Estimation
2023-02-09 00:00:00,Costa Rica,Costa Rica,CR,27.54,53.39,94.93,94.93,Electricity Maps Estimation
2023-02-10 00:00:00,Costa Rica,Costa Rica,CR,14.83,42.72,97.16,97.16,Electricity Maps Estimation; grupoice.com
2023-02-11 00:00:00,Costa Rica,Costa Rica,CR,9.27,38.14,98.14,98.14,grupoice.com
2023-02-12 00:00:00,Costa Rica,Costa Rica,CR,3.77,31.72,99.25,99.25,grupoice.com
2023-02-13 00:00:00,Costa Rica,Costa Rica,CR,8.84,36.81,98.32,98.32,grupoice.com
2023-02-14 00:00:00,Costa Rica,Costa Rica,CR,15.78,44.07,97.00,97.00,grupoice.com
2023-02-15 00:00:00,Costa Rica,Costa Rica,CR,23.24,52.67,95.57,95.57,grupoice.com
2023-02-16 00:00:00,Costa Rica,Costa Rica,CR,23.20,53.36,95.55,95.55,grupoice.com
2023-02-17 00:00:00,Costa Rica,Costa Rica,CR,22.02,51.70,95.80,95.80,grupoice.com
2023-02-18 00:00:00,Costa Rica,Costa Rica,CR,15.74,45.33,97.04,97.04,grupoice.com
2023-02-19 00:00:00,Costa Rica,Costa Rica,CR,7.22,37.59,98.55,98.55,grupoice.com
2023-02-20 00:00:00,Costa Rica,Costa Rica,CR,4.82,32.60,99.09,99.09,grupoice.com
2023-02-21 00:00:00,Costa Rica,Costa Rica,CR,7.65,35.63,98.55,98.55,grupoice.com
2023-02-22 00:00:00,Costa Rica,Costa Rica,CR,8.81,36.64,98.28,98.28,grupoice.com
2023-02-23 00:00:00,Costa Rica,Costa Rica,CR,8.35,38.36,98.18,98.18,grupoice.com
2023-02-24 00:00:00,Costa Rica,Costa Rica,CR,8.57,37.65,98.08,98.08,grupoice.com
2023-02-25 00:00:00,Costa Rica,Costa Rica,CR,6.63,35.39,98.46,98.46,grupoice.com
2023-02-26 00:00:00,Costa Rica,Costa Rica,CR,2.79,30.45,99.35,99.35,Electricity Maps Estimation; grupoice.com
2023-02-27 00:00:00,Costa Rica,Costa Rica,CR,8.82,37.79,97.95,97.95,grupoice.com
2023-02-28 00:00:00,Costa Rica,Costa Rica,CR,13.43,43.41,96.88,96.88,grupoice.com
2023-03-01 00:00:00,Costa Rica,Costa Rica,CR,17.23,48.20,96.00,96.00,Electricity Maps Estimation; grupoice.com
2023-03-02 00:00:00,Costa Rica,Costa Rica,CR,16.58,47.32,96.15,96.15,Electricity Maps Estimation; grupoice.com
2023-03-03 00:00:00,Costa Rica,Costa Rica,CR,19.43,51.65,95.49,95.49,grupoice.com
2023-03-04 00:00:00,Costa Rica,Costa Rica,CR,67.65,107.30,85.17,85.17,Electricity Maps Estimation; grupoice.com
2023-03-05 00:00:00,Costa Rica,Costa Rica,CR,22.86,56.07,94.67,94.67,grupoice.com
2023-03-06 00:00:00,Costa Rica,Costa Rica,CR,21.39,54.48,95.01,95.01,grupoice.com
2023-03-07 00:00:00,Costa Rica,Costa Rica,CR,31.87,69.66,92.47,92.47,grupoice.com
2023-03-08 00:00:00,Costa Rica,Costa Rica,CR,25.09,58.81,94.47,94.47,grupoice.com
2023-03-09 00:00:00,Costa Rica,Costa Rica,CR,28.08,62.17,94.04,94.04,grupoice.com
2023-03-10 00:00:00,Costa Rica,Costa Rica,CR,40.42,78.31,91.77,91.77,grupoice.com
2023-03-11 00:00:00,Costa Rica,Costa Rica,CR,43.67,83.75,91.00,91.00,grupoice.com
2023-03-12 00:00:00,Costa Rica,Costa Rica,CR,60.86,112.47,86.72,86.72,grupoice.com
2023-03-13 00:00:00,Costa Rica,Costa Rica,CR,59.21,110.69,87.01,87.01,grupoice.com
2023-03-14 00:00:00,Costa Rica,Costa Rica,CR,33.75,71.01,93.16,93.15,grupoice.com
2023-03-15 00:00:00,Costa Rica,Costa Rica,CR,31.08,65.70,93.87,93.87,grupoice.com
2023-03-16 00:00:00,Costa Rica,Costa Rica,CR,25.66,58.61,94.93,94.93,grupoice.com
2023-03-17 00:00:00,Costa Rica,Costa Rica,CR,23.74,56.63,95.36,95.36,grupoice.com
2023-03-18 00:00:00,Costa Rica,Costa Rica,CR,30.11,65.20,94.10,94.10,grupoice.com
2023-03-19 00:00:00,Costa Rica,Costa Rica,CR,24.50,57.32,95.24,95.24,grupoice.com
2023-03-20 00:00:00,Costa Rica,Costa Rica,CR,30.18,66.09,93.67,93.67,Electricity Maps Estimation; grupoice.com
2023-03-21 00:00:00,Costa Rica,Costa Rica,CR,31.87,68.37,93.23,93.23,grupoice.com
2023-03-22 00:00:00,Costa Rica,Costa Rica,CR,27.95,62.28,94.18,94.18,grupoice.com
2023-03-23 00:00:00,Costa Rica,Costa Rica,CR,36.10,74.62,92.21,92.21,grupoice.com
2023-03-24 00:00:00,Costa Rica,Costa Rica,CR,29.66,62.99,94.08,94.08,grupoice.com
2023-03-25 00:00:00,Costa Rica,Costa Rica,CR,32.88,75.45,92.44,92.44,grupoice.com
2023-03-26 00:00:00,Costa Rica,Costa Rica,CR,10.27,42.55,97.66,97.66,grupoice.com
2023-03-27 00:00:00,Costa Rica,Costa Rica,CR,19.52,54.92,95.70,95.70,grupoice.com
2023-03-28 00:00:00,Costa Rica,Costa Rica,CR,24.77,58.49,95.01,95.01,grupoice.com
2023-03-29 00:00:00,Costa Rica,Costa Rica,CR,23.33,55.45,95.38,95.38,grupoice.com
2023-03-30 00:00:00,Costa Rica,Costa Rica,CR,23.18,54.85,95.43,95.43,grupoice.com
2023-03-31 00:00:00,Costa Rica,Costa Rica,CR,20.51,51.44,95.99,95.99,grupoice.com
2023-04-01 00:00:00,Costa Rica,Costa Rica,CR,23.56,54.97,95.54,95.54,grupoice.com
2023-04-02 00:00:00,Costa Rica,Costa Rica,CR,8.51,36.52,98.42,98.42,grupoice.com
2023-04-03 00:00:00,Costa Rica,Costa Rica,CR,12.49,42.10,97.52,97.52,grupoice.com
2023-04-04 00:00:00,Costa Rica,Costa Rica,CR,23.13,55.19,95.40,95.40,grupoice.com
2023-04-05 00:00:00,Costa Rica,Costa Rica,CR,22.04,53.83,95.61,95.61,grupoice.com
2023-04-06 00:00:00,Costa Rica,Costa Rica,CR,4.56,31.00,99.09,99.09,grupoice.com
2023-04-07 00:00:00,Costa Rica,Costa Rica,CR,7.61,34.26,98.50,98.50,grupoice.com
2023-04-08 00:00:00,Costa Rica,Costa Rica,CR,3.23,29.11,99.36,99.36,grupoice.com
2023-04-09 00:00:00,Costa Rica,Costa Rica,CR,1.01,26.09,99.81,99.81,grupoice.com
2023-04-10 00:00:00,Costa Rica,Costa Rica,CR,6.32,32.59,98.74,98.74,grupoice.com
2023-04-11 00:00:00,Costa Rica,Costa Rica,CR,8.11,34.12,98.39,98.39,grupoice.com
2023-04-12 00:00:00,Costa Rica,Costa Rica,CR,13.89,41.86,97.07,97.07,grupoice.com
2023-04-13 00:00:00,Costa Rica,Costa Rica,CR,14.40,42.33,97.00,97.00,grupoice.com
2023-04-14 00:00:00,Costa Rica,Costa Rica,CR,16.01,44.42,96.72,96.72,grupoice.com
2023-04-15 00:00:00,Costa Rica,Costa Rica,CR,15.92,43.74,96.86,96.86,grupoice.com
2023-04-16 00:00:00,Costa Rica,Costa Rica,CR,12.73,40.77,97.60,97.60,grupoice.com
2023-04-17 00:00:00,Costa Rica,Costa Rica,CR,21.62,57.92,95.06,95.06,grupoice.com
2023-04-18 00:00:00,Costa Rica,Costa Rica,CR,17.36,49.73,96.27,96.27,grupoice.com
2023-04-19 00:00:00,Costa Rica,Costa Rica,CR,15.64,46.56,96.57,96.57,grupoice.com
2023-04-20 00:00:00,Costa Rica,Costa Rica,CR,21.60,53.91,95.28,95.28,grupoice.com
2023-04-21 00:00:00,Costa Rica,Costa Rica,CR,55.27,104.59,87.32,87.32,grupoice.com
2023-04-22 00:00:00,Costa Rica,Costa Rica,CR,71.41,130.13,83.47,83.47,grupoice.com
2023-04-23 00:00:00,Costa Rica,Costa Rica,CR,79.71,144.47,81.37,81.37,grupoice.com
2023-04-24 00:00:00,Costa Rica,Costa Rica,CR,74.00,133.52,82.91,82.91,grupoice.com
2023-04-25 00:00:00,Costa Rica,Costa Rica,CR,85.94,152.42,79.83,79.83,grupoice.com
2023-04-26 00:00:00,Costa Rica,Costa Rica,CR,82.56,152.43,79.93,79.93,grupoice.com
2023-04-27 00:00:00,Costa Rica,Costa Rica,CR,83.93,152.87,79.84,79.84,grupoice.com
2023-04-28 00:00:00,Costa Rica,Costa Rica,CR,98.36,173.35,76.46,76.46,grupoice.com
2023-04-29 00:00:00,Costa Rica,Costa Rica,CR,101.74,179.04,75.70,75.70,grupoice.com
2023-04-30 00:00:00,Costa Rica,Costa Rica,CR,62.93,115.74,86.02,86.02,grupoice.com
2023-05-01 00:00:00,Costa Rica,Costa Rica,CR,60.39,109.63,86.46,86.46,grupoice.com
2023-05-02 00:00:00,Costa Rica,Costa Rica,CR,50.87,99.96,87.99,87.99,grupoice.com
2023-05-03 00:00:00,Costa Rica,Costa Rica,CR,56.80,103.95,87.16,87.16,grupoice.com
2023-05-04 00:00:00,Costa Rica,Costa Rica,CR,51.52,94.06,88.69,88.69,grupoice.com
2023-05-05 00:00:00,Costa Rica,Costa Rica,CR,47.36,89.89,89.38,89.38,Electricity Maps Estimation; grupoice.com
2023-05-06 00:00:00,Costa Rica,Costa Rica,CR,37.10,81.02,90.92,90.92,grupoice.com
2023-05-07 00:00:00,Costa Rica,Costa Rica,CR,31.55,72.81,92.29,92.29,grupoice.com
2023-05-08 00:00:00,Costa Rica,Costa Rica,CR,41.71,88.37,89.76,89.76,grupoice.com
2023-05-09 00:00:00,Costa Rica,Costa Rica,CR,63.77,122.81,84.34,84.34,grupoice.com
2023-05-10 00:00:00,Costa Rica,Costa Rica,CR,74.84,140.55,81.63,81.63,grupoice.com
2023-05-11 00:00:00,Costa Rica,Costa Rica,CR,86.28,158.76,78.80,78.80,grupoice.com
