Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Costa Rica,Costa Rica,CR,44.67,80.13,90.51,90.51,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 01:00:00,Costa Rica,Costa Rica,CR,46.95,82.67,90.09,90.09,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 02:00:00,Costa Rica,Costa Rica,CR,44.26,79.93,90.56,90.56,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 03:00:00,Costa Rica,Costa Rica,CR,46.35,82.76,90.13,90.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 04:00:00,Costa Rica,Costa Rica,CR,39.14,73.77,91.48,91.48,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 05:00:00,Costa Rica,Costa Rica,CR,38.71,72.91,91.61,91.61,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 06:00:00,Costa Rica,Costa Rica,CR,41.18,78.72,90.98,90.98,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 07:00:00,Costa Rica,Costa Rica,CR,44.57,85.53,90.13,90.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 08:00:00,Costa Rica,Costa Rica,CR,48.3,92.63,89.2,89.2,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 09:00:00,Costa Rica,Costa Rica,CR,51.96,91.47,88.77,88.77,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 10:00:00,Costa Rica,Costa Rica,CR,51.19,92.12,88.82,88.82,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 11:00:00,Costa Rica,Costa Rica,CR,49.22,87.82,89.29,89.29,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 12:00:00,Costa Rica,Costa Rica,CR,42.8,79.78,90.65,90.65,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
